index	iid	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Group Label	Version ID	Master ID	Publication	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990Â¬Â±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Locality	Country	Lat.	Long.	Data source	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, ""QUESTIONABLE"" for 0.01-0.03, and recorded but passed if 0.03-0.05; libraries with fully-treated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.03, ""QUESTIONABLE"" if 0.03-0.06, and recorded but passed if 0.06-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date BP	Date BP (SE)	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death Estimate	Group ID	No. Libraries	SNPs	Mean length of shotgun sequences (merged data)	Family ID and position within family	Y haplogroup	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e..1	LibraryID(s)	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Steppe	WHG	Farmer	Steppe(SE)	WHG(SE)	Farmer(SE)
21	GEO001	-0.0243	-0.0399	-0.0352	-0.0103	-0.0085	-0.005	0.0128	-0.0012	-0.0028	0.0009	Georgian	GEO001	GEO001	JeongNatureEcologyEvolution2019	..	Turkey	Turkey	40.93	40.84	Balanovsky	..	579240	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Georgian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
22	KRD-5	-0.0264	-0.0389	-0.0221	-0.0079	-0.0043	-0.0005	0.0024	0.0024	-0.0078	0.0065	Kurd	KRD-5	KRD-5	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Krasnogvardiysky district	Russia	44.58	39.42	Balanovsky	..	584906	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Kurd	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
23	KRD-8	-0.0256	-0.0377	-0.0162	-0.0048	-0.0097	0.0027	0.0028	0.0054	-0.012	-0.0041	Kurd	KRD-8	KRD-8	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Krasnogvardiysky district	Russia	44.58	39.42	Balanovsky	..	584828	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Kurd	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
24	KRD-14	-0.0268	-0.0392	-0.0183	-0.0069	-0.0063	-0.0082	-0.0009	0.0002	-0.0024	-0.0016	Kurd	KRD-14	KRD-14	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Krasnogvardiysky district	Russia	44.58	39.42	Balanovsky	..	584921	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Kurd	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
25	KRD-31	-0.0262	-0.0417	-0.0228	-0.0063	-0.0071	0.0004	0	0.0018	-0.007	-0.0013	Kurd	KRD-31	KRD-31	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Krasnogvardiysky district	Russia	44.58	39.42	Balanovsky	..	584738	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Kurd	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
26	KRD-40	-0.0231	-0.044	-0.0115	-0.0079	-0.0065	-0.0051	0.0048	0.0039	-0.0032	-0.0006	Kurd	KRD-40	KRD-40	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Krasnogvardiysky district	Russia	44.58	39.42	Balanovsky	..	584335	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Kurd	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
27	KRD-43	-0.0253	-0.0378	-0.0179	-0.0084	-0.0091	-0.0052	0.0017	0.006	-0.0044	-0.0017	Kurd	KRD-43	KRD-43	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Krasnogvardiysky district	Russia	44.58	39.42	Balanovsky	..	584530	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Kurd	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
28	KRD-45	-0.0238	-0.036	-0.017	-0.0127	-0.0042	-0.0061	-0.0006	0.001	-0.013	-0.0032	Kurd	KRD-45	KRD-45	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Krasnogvardiysky district	Russia	44.58	39.42	Balanovsky	..	584554	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Kurd	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
29	KRD-49	-0.0217	-0.0373	-0.0181	-0.0128	-0.0057	-0.0034	0.0016	0.0062	0.0002	-0.0017	Kurd	KRD-49	KRD-49	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Krasnogvardiysky district	Russia	44.58	39.42	Balanovsky	..	584741	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Kurd	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
30	lpgh-303	-0.0075	-0.0515	-0.0156	-0.0061	-0.0067	-0.0062	0.0076	0.0004	-0.0062	-0.0023	Adygei	lpgh-303	lpgh-303	JeongNatureEcologyEvolution2019	..	Adyghei Republic, Takhtamukayski district	Russia	44.89	39.24	Balanovsky	..	584820	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Adygei	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
31	MOE-001	0.0343	-0.0246	0.0438	0.0028	0.0014	0.0063	0.0004	-0.0006	0.0019	-0.0015	Mordovian	MOE-001	MOE-001	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Lukoyanovsky, Ardatovsky, Chamzinsky,  Ichkalovsky districts	Russia	55.08	44.16	Balanovsky	..	584552	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
32	MOE-002	0.0363	-0.0289	0.0475	0.009	0.0051	0.0076	-0.0095	-0.0024	0.0066	0.0022	Mordovian	MOE-002	MOE-002	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Lukoyanovsky, Ardatovsky, Chamzinsky,  Ichkalovsky districts	Russia	55.08	44.16	Balanovsky	..	584581	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
33	MOE-010	0.034	-0.0293	0.0416	0.0073	0.0063	0.004	-0.0009	0.0028	0.0032	-0.0022	Mordovian	MOE-010	MOE-010	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Lukoyanovsky, Ardatovsky, Chamzinsky,  Ichkalovsky districts	Russia	55.08	44.16	Balanovsky	..	585058	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
34	MOE-014	0.0303	-0.028	0.0385	0.0053	0.0044	0.0064	-0.0082	-0.001	0.0093	0.0023	Mordovian	MOE-014	MOE-014	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Torbeevsky, Insarsky, Krasnoslobodsky districts	Russia	54.08	43.13	Balanovsky	..	584880	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
35	MOE-015	0.0345	-0.024	0.0381	0.003	0.0041	0.0042	-0.0012	0.0009	0.0047	-0.0005	Mordovian	MOE-015	MOE-015	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Torbeevsky, Insarsky, Krasnoslobodsky districts	Russia	54.08	43.13	Balanovsky	..	584739	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
36	MOE-020	0.0331	-0.025	0.0333	0.0071	0.0088	0.0006	-0.0028	0.0005	0.0092	-0.0019	Mordovian	MOE-020	MOE-020	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Torbeevsky, Insarsky, Krasnoslobodsky districts	Russia	54.08	43.13	Balanovsky	..	584986	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
37	MOE-025	0.0326	-0.029	0.0382	0.0057	0.0012	0.0037	-0.0028	-0.0013	0.0056	0.0007	Mordovian	MOE-025	MOE-025	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Torbeevsky, Insarsky, Krasnoslobodsky districts	Russia	54.08	43.13	Balanovsky	..	585098	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
38	MOE-036	0.0353	-0.0309	0.0392	0.0117	0.0069	0.0038	-0.0026	-0.0041	0.008	0	Mordovian	MOE-036	MOE-036	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Lukoyanovsky, Ardatovsky, Chamzinsky,  Ichkalovsky districts	Russia	55.08	44.16	Balanovsky	..	585072	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
39	MOE-043	0.0347	-0.0297	0.0436	0.0067	0.0047	0.0044	-0.0083	0.0004	0.0031	0.005	Mordovian	MOE-043	MOE-043	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Lukoyanovsky, Ardatovsky, Chamzinsky,  Ichkalovsky districts	Russia	55.08	44.16	Balanovsky	..	585087	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
40	MOE-045	0.0368	-0.0309	0.0485	0.0088	0.0069	0.0019	0.0012	-0.0003	-0.0003	-0.0031	Mordovian	MOE-045	MOE-045	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Lukoyanovsky, Ardatovsky, Chamzinsky,  Ichkalovsky districts	Russia	55.08	44.16	Balanovsky	..	584537	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
41	MOE-433	0.0332	-0.0195	0.036	0.0087	0.0008	0.0032	-0.0018	0.0012	0.0016	0.0027	Mordovian	MOE-433	MOE-433	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Torbeevsky, Insarsky, Krasnoslobodsky districts	Russia	54.08	43.13	Balanovsky	..	579129	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
42	MOE-445	0.0337	-0.0284	0.0432	0.0008	-0.0017	0.0036	-0.0028	-0.0005	0.0044	-0.0006	Mordovian	MOE-445	MOE-445	JeongNatureEcologyEvolution2019	..	Mordovia Republic, Torbeevsky, Insarsky, Krasnoslobodsky districts	Russia	54.08	43.13	Balanovsky	..	584808	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
